id,clip,stimulus,trustworthy,wealthy,kind,intelligent,honest,educated,humorous,confident,accent
323,beijing_clip2,NA,3,3,3,3,3,3,3,3,beijing
323,beijing_clip3,NA,3,3,3,3,3,3,3,6,beijing
323,beijing_clip4,NA,3,3,3,3,3,3,3,3,beijing
323,beijing_clip5,NA,3,3,3,3,3,3,3,3,beijing
330,beijing_clip1,NA,5,5,5,5,5,5,3,6,beijing
330,beijing_clip2,NA,5,5,5,5,5,5,3,5,beijing
330,beijing_clip3,NA,5,5,5,6,5,5,3,5,beijing
330,beijing_clip4,NA,5,5,5,5,5,5,3,5,beijing
330,beijing_clip5,NA,5,4,5,5,5,5,3,6,beijing
332,beijing_clip1,NA,3,5,1,4,4,4,1,6,beijing
332,beijing_clip2,NA,2,3,2,3,3,3,2,4,beijing
332,beijing_clip3,NA,2,3,3,2,2,3,3,2,beijing
332,beijing_clip4,NA,3,4,4,3,3,3,2,4,beijing
332,beijing_clip5,NA,2,5,2,4,4,4,2,6,beijing
339,beijing_clip1,NA,4,4,3,3,3,3,3,4,beijing
339,beijing_clip2,NA,4,4,3,4,3,4,3,4,beijing
339,beijing_clip3,NA,4,5,3,4,3,4,3,5,beijing
339,beijing_clip4,NA,4,4,3,4,3,4,3,5,beijing
339,beijing_clip5,NA,5,5,2,4,3,4,1,5,beijing
34,beijing_clip1,NA,5,5,5,5,5,5,5,5,beijing
34,beijing_clip2,NA,5,5,5,5,5,5,5,5,beijing
34,beijing_clip3,NA,5,5,5,5,5,5,5,5,beijing
34,beijing_clip4,NA,4,4,4,4,4,4,4,4,beijing
34,beijing_clip5,NA,5,5,5,5,5,5,5,5,beijing
347,beijing_clip1,NA,3,3,3,3,3,3,3,3,beijing
347,beijing_clip2,NA,3,3,3,3,3,3,3,3,beijing
347,beijing_clip3,NA,3,3,3,3,3,3,3,3,beijing
347,beijing_clip4,NA,3,3,3,3,3,3,3,3,beijing
347,beijing_clip5,NA,3,3,3,3,3,3,3,3,beijing
352,beijing_clip1,NA,3,3,5,3,3,3,3,5,beijing
352,beijing_clip2,NA,5,3,5,2,2,2,3,5,beijing
352,beijing_clip3,NA,5,3,3,4,4,4,4,5,beijing
352,beijing_clip4,NA,5,5,5,5,5,5,5,5,beijing
352,beijing_clip5,NA,3,3,2,4,3,4,2,5,beijing
358,beijing_clip1,NA,4,3,2,5,3,3,4,3,beijing
358,beijing_clip2,NA,3,5,5,5,5,5,5,5,beijing
358,beijing_clip3,NA,4,3,3,4,4,1,4,3,beijing
358,beijing_clip4,NA,2,3,2,5,3,4,4,3,beijing
358,beijing_clip5,NA,3,3,3,3,3,3,3,3,beijing
363,beijing_clip1,NA,5,4,4,4,4,4,1,5,beijing
363,beijing_clip2,NA,5,5,4,5,3,5,3,4,beijing
363,beijing_clip3,NA,4,2,2,4,2,4,1,5,beijing
363,beijing_clip4,NA,4,2,2,4,2,5,1,5,beijing
363,beijing_clip5,NA,4,4,3,4,3,5,2,5,beijing
44,beijing_clip1,NA,5,4,5,5,4,5,4,4,beijing
44,beijing_clip2,NA,4,5,4,5,5,3,5,4,beijing
44,beijing_clip3,NA,5,5,5,4,4,4,4,2,beijing
44,beijing_clip4,NA,5,5,5,4,4,4,3,4,beijing
44,beijing_clip5,NA,4,3,3,4,4,4,5,3,beijing
52,beijing_clip1,NA,4,4,4,4,4,3,3,4,beijing
52,beijing_clip2,NA,3,3,3,4,4,4,4,4,beijing
52,beijing_clip3,NA,3,3,3,4,4,3,4,4,beijing
52,beijing_clip4,NA,3,3,4,4,3,4,4,4,beijing
52,beijing_clip5,NA,3,3,3,4,3,5,2,4,beijing
69,beijing_clip1,NA,3,3,3,3,3,3,3,4,beijing
69,beijing_clip2,NA,3,3,3,3,3,3,3,4,beijing
69,beijing_clip3,NA,3,3,3,3,3,3,3,4,beijing
69,beijing_clip4,NA,3,3,3,3,3,4,3,4,beijing
69,beijing_clip5,NA,3,3,3,4,3,4,3,4,beijing
70,beijing_clip1,NA,3,3,4,3,3,3,3,2,beijing
70,beijing_clip2,NA,3,3,3,3,3,3,3,4,beijing
70,beijing_clip3,NA,4,3,3,3,4,3,3,5,beijing
70,beijing_clip4,NA,3,3,4,3,3,3,3,5,beijing
70,beijing_clip5,NA,3,3,3,3,3,3,3,5,beijing
83,beijing_clip1,NA,5,3,3,5,5,5,5,5,beijing
83,beijing_clip2,NA,5,3,3,5,5,5,5,5,beijing
83,beijing_clip3,NA,4,3,4,4,4,4,4,4,beijing
83,beijing_clip4,NA,5,3,4,5,5,5,4,5,beijing
83,beijing_clip5,NA,4,3,4,4,4,4,4,4,beijing
91,beijing_clip1,NA,3,3,3,4,4,4,3,4,beijing
91,beijing_clip2,NA,5,3,3,4,3,5,3,5,beijing
91,beijing_clip3,NA,3,3,3,3,3,3,3,3,beijing
91,beijing_clip4,NA,3,3,3,3,3,5,3,4,beijing
91,beijing_clip5,NA,3,3,3,3,3,3,3,3,beijing
103,standard_clip1,NA,3,3,3,4,3,5,3,4,standard
103,standard_clip2,NA,3,3,3,3,3,3,3,4,standard
103,standard_clip3,NA,3,3,3,3,3,3,3,3,standard
103,standard_clip5,NA,3,3,3,3,3,4,3,5,standard
105,standard_clip1,NA,4,3,4,4,4,4,4,4,standard
105,standard_clip2,NA,4,3,4,4,3,4,4,4,standard
105,standard_clip3,NA,5,3,4,5,4,5,3,5,standard
105,standard_clip5,NA,4,3,4,4,3,4,2,4,standard
117,standard_clip1,NA,2,1,2,2,2,1,4,1,standard
117,standard_clip2,NA,4,4,4,5,4,5,4,4,standard
117,standard_clip3,NA,6,4,5,5,5,5,2,5,standard
117,standard_clip5,NA,2,2,5,4,5,2,4,4,standard
130,standard_clip1,NA,4,3,4,4,4,4,3,4,standard
130,standard_clip2,NA,4,4,4,4,4,4,4,4,standard
130,standard_clip3,NA,3,2,3,3,3,3,3,3,standard
130,standard_clip5,NA,4,3,4,4,4,5,4,5,standard
147,standard_clip1,NA,5,4,4,3,4,4,3,4,standard
147,standard_clip2,NA,5,4,2,4,4,4,3,5,standard
147,standard_clip3,NA,5,3,5,5,4,3,4,4,standard
147,standard_clip5,NA,4,4,4,2,4,3,3,3,standard
153,standard_clip1,NA,5,4,4,5,5,4,3,5,standard
153,standard_clip2,NA,5,5,4,5,5,5,3,5,standard
153,standard_clip3,NA,5,4,5,4,5,5,3,5,standard
153,standard_clip5,NA,4,4,4,5,4,5,3,4,standard
16,standard_clip1,NA,4,5,5,5,4,4,3,5,standard
16,standard_clip2,NA,4,3,3,4,3,3,3,3,standard
16,standard_clip3,NA,4,3,3,3,4,3,4,5,standard
16,standard_clip5,NA,4,3,3,5,4,4,4,5,standard
160,standard_clip1,NA,3,3,3,3,3,3,3,3,standard
160,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
160,standard_clip3,NA,3,3,3,3,3,3,3,3,standard
160,standard_clip5,NA,3,3,3,3,3,3,3,3,standard
167,standard_clip1,NA,2,2,3,3,2,2,2,4,standard
167,standard_clip2,NA,5,3,2,4,4,4,3,5,standard
167,standard_clip3,NA,2,2,2,2,2,3,3,3,standard
167,standard_clip5,NA,4,3,4,3,4,4,3,5,standard
17,standard_clip1,NA,3,3,3,4,4,4,3,4,standard
17,standard_clip2,NA,4,3,4,4,4,4,3,5,standard
17,standard_clip3,NA,3,3,4,3,4,4,3,4,standard
17,standard_clip5,NA,3,3,4,4,4,4,4,4,standard
175,standard_clip1,NA,4,5,4,5,5,4,2,5,standard
175,standard_clip2,NA,5,5,5,5,5,4,3,5,standard
175,standard_clip3,NA,4,5,4,3,4,4,4,5,standard
175,standard_clip5,NA,4,5,4,4,5,3,3,5,standard
178,standard_clip1,NA,4,4,4,4,4,4,3,6,standard
178,standard_clip2,NA,4,3,3,4,4,3,3,5,standard
178,standard_clip3,NA,4,4,3,5,4,4,3,6,standard
178,standard_clip5,NA,4,4,3,4,4,4,3,5,standard
18,standard_clip1,NA,3,3,3,3,3,3,3,3,standard
18,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
18,standard_clip3,NA,3,3,3,3,3,3,3,3,standard
18,standard_clip5,NA,3,3,3,3,3,3,3,3,standard
184,standard_clip1,NA,3,4,3,3,3,3,3,3,standard
184,standard_clip2,NA,3,3,3,3,3,3,3,4,standard
184,standard_clip3,NA,3,3,3,3,3,3,3,3,standard
184,standard_clip5,NA,3,3,3,3,3,4,3,4,standard
189,standard_clip1,NA,4,3,4,4,4,4,3,4,standard
189,standard_clip2,NA,4,3,4,5,4,5,3,5,standard
189,standard_clip3,NA,4,4,3,4,4,4,2,4,standard
189,standard_clip5,NA,3,4,4,4,4,5,3,5,standard
191,standard_clip1,NA,3,3,3,3,3,3,3,3,standard
191,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
191,standard_clip3,NA,4,3,3,3,3,3,3,3,standard
191,standard_clip5,NA,5,4,5,3,3,5,3,3,standard
195,standard_clip1,NA,3,3,3,3,3,3,3,3,standard
195,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
195,standard_clip3,NA,3,3,3,3,3,3,3,3,standard
195,standard_clip5,NA,3,3,3,3,3,3,3,3,standard
202,standard_clip1,NA,5,5,5,5,5,5,5,5,standard
202,standard_clip2,NA,4,4,4,4,4,4,4,4,standard
202,standard_clip3,NA,4,4,4,4,5,5,5,5,standard
202,standard_clip5,NA,5,5,5,5,5,5,5,4,standard
212,standard_clip1,NA,4,3,3,2,4,2,5,5,standard
212,standard_clip2,NA,5,6,6,0,5,0,4,4,standard
212,standard_clip3,NA,5,6,6,0,5,0,4,4,standard
212,standard_clip5,NA,5,4,4,3,5,3,6,6,standard
217,standard_clip1,NA,4,3,4,4,4,4,3,4,standard
217,standard_clip2,NA,4,3,4,3,4,4,3,4,standard
217,standard_clip3,NA,5,3,5,3,5,3,3,5,standard
217,standard_clip5,NA,3,3,3,3,3,3,3,4,standard
245,standard_clip1,NA,3,3,3,3,3,3,3,3,standard
245,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
245,standard_clip3,NA,3,3,3,3,3,3,3,3,standard
245,standard_clip5,NA,3,3,3,3,3,3,3,3,standard
249,standard_clip1,NA,5,5,5,6,5,5,5,5,standard
249,standard_clip2,NA,5,5,4,6,5,6,5,6,standard
249,standard_clip3,NA,5,4,4,5,5,5,4,5,standard
249,standard_clip5,NA,5,5,6,5,6,5,5,6,standard
257,standard_clip1,NA,4,4,4,4,4,4,4,4,standard
257,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
257,standard_clip3,NA,3,3,3,3,3,3,3,3,standard
257,standard_clip5,NA,4,4,4,4,4,4,4,4,standard
264,standard_clip1,NA,4,3,3,3,3,4,3,3,standard
264,standard_clip2,NA,3,3,3,5,3,5,3,5,standard
264,standard_clip3,NA,3,3,3,3,3,3,5,3,standard
264,standard_clip5,NA,3,3,4,4,3,4,3,3,standard
269,standard_clip1,NA,4,3,3,4,3,5,3,5,standard
269,standard_clip2,NA,4,3,3,4,3,5,3,5,standard
